2020-11-08 18:49:28Z;IN;5973;DNC
2020-11-08 18:49:28Z;IN;5669;GOP
2020-11-08 01:31:10Z;AS;5657;DNC
2020-11-08 01:31:10Z;AS;5369;GOP
2020-11-08 10:54:18Z;WA;6923;DNC
2020-11-08 10:54:18Z;WA;6572;GOP
2020-11-08 17:01:25Z;WI;95;DNC
2020-11-08 17:01:25Z;WI;90;GOP
2020-11-08 14:31:38Z;FL;3588;DNC
2020-11-08 14:31:38Z;FL;3405;GOP
2020-11-08 13:15:29Z;PW;9735;DNC
2020-11-08 13:15:29Z;PW;9241;GOP
2020-11-08 14:15:10Z;MN;7071;DNC
2020-11-08 14:15:10Z;MN;6712;GOP
2020-11-08 01:42:45Z;VI;2756;DNC
2020-11-08 01:42:45Z;VI;2615;GOP
2020-11-08 16:19:31Z;OR;3171;DNC
2020-11-08 16:19:31Z;OR;3009;GOP
2020-11-08 01:44:47Z;WV;3558;DNC
2020-11-08 01:44:47Z;WV;3376;GOP
2020-11-08 20:01:37Z;WV;6927;DNC
2020-11-08 20:01:37Z;WV;6574;GOP
2020-11-07 23:20:20Z;MS;6955;DNC
2020-11-07 23:20:20Z;MS;6601;GOP
2020-11-08 11:02:22Z;MA;3554;DNC
2020-11-08 11:02:22Z;MA;3372;GOP
2020-11-08 19:16:04Z;KS;3818;DNC
2020-11-08 19:16:04Z;KS;3623;GOP
2020-11-07 23:25:24Z;FM;4918;DNC
2020-11-07 23:25:24Z;FM;4667;GOP
2020-11-08 18:33:18Z;NC;5180;DNC
2020-11-08 18:33:18Z;NC;4917;GOP
2020-11-08 21:42:31Z;DC;2544;DNC
2020-11-08 21:42:31Z;DC;2415;GOP
2020-11-08 09:07:44Z;NC;4257;DNC
2020-11-08 09:07:44Z;NC;4040;GOP
2020-11-08 20:23:01Z;AS;7196;DNC
2020-11-08 20:23:01Z;AS;6830;GOP
2020-11-08 08:26:27Z;NY;6488;DNC
2020-11-08 08:26:27Z;NY;6159;GOP
2020-11-08 18:08:45Z;NY;4522;DNC
2020-11-08 18:08:45Z;NY;4291;GOP
2020-11-08 00:26:21Z;NV;3802;DNC
2020-11-08 00:26:21Z;NV;3608;GOP
2020-11-08 10:44:16Z;MD;8808;DNC
2020-11-08 10:44:16Z;MD;8361;GOP
2020-11-08 19:38:18Z;ME;4457;DNC
2020-11-08 19:38:18Z;ME;4230;GOP
2020-11-08 10:15:01Z;MT;1979;DNC
2020-11-08 10:15:01Z;MT;1878;GOP
2020-11-08 23:40:08Z;VI;1473;DNC
2020-11-08 23:40:08Z;VI;1398;GOP
2020-11-08 16:11:10Z;GU;10136;DNC
2020-11-08 16:11:10Z;GU;9621;GOP
2020-11-08 06:36:53Z;NC;7247;DNC
2020-11-08 06:36:53Z;NC;6879;GOP
2020-11-08 22:37:53Z;MI;7100;DNC
2020-11-08 22:37:53Z;MI;6740;GOP
2020-11-08 04:26:48Z;MO;1461;DNC
2020-11-08 04:26:48Z;MO;1386;GOP
